,zip_code,y-2016,lat,lon,major_city,radius_in_miles,state
497,2150,38237,42.4,-71.03,Chelsea,2,MA
498,2151,53172,42.42,-71,Revere,3,MA
499,2152,18031,42.37,-70.97,Winthrop,2,MA
500,2155,59348,42.42,-71.11,Medford,3,MA
501,2163,2575,42.369,-71.125,Boston,0.625,MA
502,2169,55876,42.24,-71.01,Quincy,4,MA
503,2170,19574,42.27,-71.02,Quincy,1,MA
504,2171,17899,42.29,-71.01,Quincy,2,MA
505,2176,27787,42.46,-71.06,Melrose,2,MA
506,2180,21831,42.47,-71.1,Stoneham,3,MA
507,2184,37066,42.2,-71.01,Braintree,3,MA
